state_name,count,mean_frp,state,season,max_temp_anomaly,min_temp_anomaly,mean_temp_anomaly,rainfall_avg_mm,rainfall_departure_percent
New South Wales,96337,96.9,New South Wales,Spring 2019,2.6,0.83,1.72,48.5,-61
Northern Territory,59264,55.1,Northern Territory,Spring 2019,1.82,0.46,1.14,22.4,-67
Queensland,49156,51.6,Queensland,Spring 2019,1.94,0.5,1.23,26.6,-69
South Australia,4604,138.4,South Australia,Spring 2019,2.46,0.3,1.39,15.4,-70
Tasmania,1057,77.3,Tasmania,Spring 2019,0.47,-0.37,0.06,292.3,-20
Victoria,5035,117.7,Victoria,Spring 2019,1.01,-0.25,0.38,110.9,-39
Western Australia,45768,123.4,Western Australia,Spring 2019,3.13,1.02,2.08,14.0,-66
