latitude,longitude,acq_date,brightness,frp,confidence
-31.3974,152.1756,2019-11-12,318.7,25.9,97
-38.4065,143.8477,2019-07-22,311.7,13.5,72
-32.8996,150.3353,2019-12-06,323.6,103.6,58
-36.0655,147.5702,2020-01-04,342.8,22.5,33
-35.3836,150.0532,2019-12-21,374.8,131.9,100
-30.7454,152.1313,2019-11-07,320.2,22.2,100
-30.9777,152.0979,2019-11-06,319.7,11.6,51
-34.4773,116.8272,2020-03-29,326.6,74.5,79
-14.2615,143.6062,2019-10-05,336.7,58.3,83
-14.4939,130.9809,2019-10-20,312.4,71.4,68
-16.2248,144.6653,2019-09-08,326.3,27.8,77
-14.2721,130.0801,2019-07-01,312.7,15.3,85
-28.3519,152.7412,2019-11-17,311.5,10.8,50
-35.2816,147.8378,2020-01-01,309.2,8.7,73
-17.6949,144.8622,2020-01-13,336.7,24.2,56
-15.3331,131.015,2019-08-06,325.3,119.8,40
-31.7088,151.8907,2019-11-09,318.2,17.4,96
-32.5737,150.4745,2019-12-30,334.1,16.6,49
-28.8261,152.3389,2019-12-18,330.6,36.2,72
-29.4749,151.975,2019-12-15,308.3,19.4,74
-36.2919,149.9454,2020-01-04,374.5,123.3,100
-13.012,141.7791,2019-09-28,364.1,91.5,100
-31.4298,151.3192,2019-12-17,349.2,338.9,100
-34.3543,150.5111,2019-12-28,386.8,171.2,100
-19.421,138.6571,2019-12-28,315.2,7.5,71
-35.797,149.9797,2020-01-01,307.7,9.8,72
-23.8437,150.9649,2020-02-16,326.8,12.5,73
-29.7127,152.4131,2019-09-08,317.5,19.7,95
-13.3927,130.8345,2019-09-13,336.7,17.4,66
-37.5939,148.0419,2019-12-30,344.9,50.7,99
-28.4574,128.9845,2019-10-11,357.7,73.0,98
-36.4857,149.994,2020-01-29,327.8,20.5,72
-32.5281,122.298,2020-01-02,371.0,117.6,100
-30.0017,152.3619,2019-11-12,415.1,349.6,100
-37.1759,149.0045,2020-02-01,316.6,22.4,93
-32.7123,150.2213,2019-12-28,369.2,96.2,100
-30.9732,151.864,2019-11-22,397.1,222.4,100
-14.4074,134.6147,2019-06-06,318.6,33.1,73
-29.0672,152.8238,2019-10-08,452.5,1810.5,100
-32.6125,121.1211,2019-12-29,343.5,62.7,60
-14.9113,126.4592,2019-11-25,336.8,26.6,62
-15.1791,127.3922,2019-11-15,354.0,76.7,95
-31.8591,150.8829,2019-06-29,309.0,10.8,68
-33.3965,150.2863,2019-12-10,394.8,303.9,100
-14.7681,130.6527,2019-07-27,337.1,24.9,83
-32.4574,122.9989,2020-01-07,316.0,17.4,92
-25.1058,128.9038,2020-01-01,364.0,69.1,100
-14.8485,127.4567,2019-11-20,314.0,7.6,61
-17.2199,142.7257,2019-08-30,301.1,16.0,37
